Date,Time,Entries,Exits
2026-06-08,00:00-01:00,1,1
2026-06-08,01:00-02:00,2,0
2026-06-08,02:00-03:00,1,1
2026-06-08,03:00-04:00,1,0
2026-06-08,04:00-05:00,1,1
2026-06-08,05:00-06:00,7,0
2026-06-08,06:00-07:00,49,1
2026-06-08,07:00-08:00,167,2
2026-06-08,08:00-09:00,707,6
2026-06-08,09:00-10:00,485,33
2026-06-08,10:00-11:00,514,195
2026-06-08,11:00-12:00,197,124
2026-06-08,12:00-13:00,134,381
2026-06-08,13:00-14:00,319,194
2026-06-08,14:00-15:00,213,152
2026-06-08,15:00-16:00,199,315
2026-06-08,16:00-17:00,56,351
2026-06-08,17:00-18:00,44,619
2026-06-08,18:00-19:00,11,289
2026-06-08,19:00-20:00,6,80
2026-06-08,20:00-21:00,8,75
2026-06-08,21:00-22:00,10,21
2026-06-08,22:00-23:00,5,17
2026-06-08,23:00-24:00,4,11
2026-06-19,00:00-01:00,1,6
2026-06-19,01:00-02:00,2,0
2026-06-19,02:00-03:00,1,0
2026-06-19,03:00-04:00,1,1
2026-06-19,04:00-05:00,1,0
2026-06-19,05:00-06:00,0,0
2026-06-19,06:00-07:00,36,0
2026-06-19,07:00-08:00,166,1
2026-06-19,08:00-09:00,608,11
2026-06-19,09:00-10:00,387,28
2026-06-19,10:00-11:00,261,95
2026-06-19,11:00-12:00,78,178
2026-06-19,12:00-13:00,59,381
2026-06-19,13:00-14:00,195,129
2026-06-19,14:00-15:00,349,54
2026-06-19,15:00-16:00,66,126
2026-06-19,16:00-17:00,47,316
2026-06-19,17:00-18:00,24,407
2026-06-19,18:00-19:00,21,116
2026-06-19,19:00-20:00,9,64
2026-06-19,20:00-21:00,9,25
2026-06-19,21:00-22:00,7,45
2026-06-19,22:00-23:00,3,16
2026-06-19,23:00-24:00,2,9
2026-07-17,00:00-01:00,5,1
2026-07-17,01:00-02:00,1,0
2026-07-17,02:00-03:00,0,0
2026-07-17,03:00-04:00,1,0
2026-07-17,04:00-05:00,3,0
2026-07-17,05:00-06:00,3,0
2026-07-17,06:00-07:00,25,1
2026-07-17,07:00-08:00,179,3
2026-07-17,08:00-09:00,690,7
2026-07-17,09:00-10:00,456,41
2026-07-17,10:00-11:00,317,173
2026-07-17,11:00-12:00,98,171
2026-07-17,12:00-13:00,74,407
2026-07-17,13:00-14:00,157,119
2026-07-17,14:00-15:00,424,84
2026-07-17,15:00-16:00,73,190
2026-07-17,16:00-17:00,39,447
2026-07-17,17:00-18:00,17,386
2026-07-17,18:00-19:00,6,94
2026-07-17,19:00-20:00,7,42
2026-07-17,20:00-21:00,8,49
2026-07-17,21:00-22:00,1,22
2026-07-17,22:00-23:00,3,15
2026-07-17,23:00-24:00,0,2
2026-07-21,00:00-01:00,3,1
2026-07-21,01:00-02:00,1,1
2026-07-21,02:00-03:00,1,0
2026-07-21,03:00-04:00,2,3
2026-07-21,04:00-05:00,1,1
2026-07-21,05:00-06:00,1,0
2026-07-21,06:00-07:00,34,0
2026-07-21,07:00-08:00,134,3
2026-07-21,08:00-09:00,525,5
2026-07-21,09:00-10:00,417,30
2026-07-21,10:00-11:00,401,69
2026-07-21,11:00-12:00,185,97
2026-07-21,12:00-13:00,147,304
2026-07-21,13:00-14:00,384,125
2026-07-21,14:00-15:00,217,203
2026-07-21,15:00-16:00,138,321
2026-07-21,16:00-17:00,47,351
2026-07-21,17:00-18:00,17,504
2026-07-21,18:00-19:00,16,204
2026-07-21,19:00-20:00,7,84
2026-07-21,20:00-21:00,4,27
2026-07-21,21:00-22:00,3,17
2026-07-21,22:00-23:00,6,14
2026-07-21,23:00-24:00,3,3
2026-07-27,00:00-01:00,5,0
2026-07-27,01:00-02:00,1,0
2026-07-27,02:00-03:00,1,0
2026-07-27,03:00-04:00,0,0
2026-07-27,04:00-05:00,0,0
2026-07-27,05:00-06:00,3,1
2026-07-27,06:00-07:00,35,1
2026-07-27,07:00-08:00,158,3
2026-07-27,08:00-09:00,523,4
2026-07-27,09:00-10:00,419,18
2026-07-27,10:00-11:00,367,75
2026-07-27,11:00-12:00,112,95
2026-07-27,12:00-13:00,108,338
2026-07-27,13:00-14:00,251,120
2026-07-27,14:00-15:00,131,117
2026-07-27,15:00-16:00,103,229
2026-07-27,16:00-17:00,36,222
2026-07-27,17:00-18:00,10,449
2026-07-27,18:00-19:00,10,221
2026-07-27,19:00-20:00,6,74
2026-07-27,20:00-21:00,9,19
2026-07-27,21:00-22:00,2,19
2026-07-27,22:00-23:00,4,1
2026-07-27,23:00-24:00,0,1
