Date,Entries,Exits
2026-04-01,2660,2446
2026-04-02,2590,2397
2026-04-03,2439,2201
2026-04-04,274,195
2026-04-05,201,123
2026-04-06,2751,2574
2026-04-07,2612,2397
2026-04-08,2706,2495
2026-04-09,2490,2240
2026-04-10,2542,2291
2026-04-11,238,177
2026-04-12,185,140
2026-04-13,2224,1966
2026-04-14,2313,2105
2026-04-15,2100,1868
2026-04-16,2127,1862
2026-04-17,1949,1685
2026-04-18,615,525
2026-04-19,493,377
2026-04-20,2214,2003
2026-04-21,2122,1876
2026-04-22,2070,1825
2026-04-23,2187,1910
2026-04-24,2095,1831
2026-04-25,200,176
2026-04-26,127,101
2026-04-27,2680,2442
2026-04-28,2574,2318
2026-04-29,2686,2415
2026-04-30,2375,2148
2026-05-01,28,37
2026-05-02,129,121
2026-05-03,103,83
2026-05-04,2935,2678
2026-05-05,2824,2514
2026-05-06,2975,2676
2026-05-07,2967,2733
2026-05-08,2541,2251
2026-05-09,211,136
2026-05-10,122,115
2026-05-11,3103,2871
2026-05-12,3201,2937
2026-05-13,3072,2820
2026-05-14,2802,2546
2026-05-15,2823,2561
2026-05-16,157,148
2026-05-17,64,50
2026-05-18,3269,3027
2026-05-19,3116,2867
2026-05-20,3237,2992
2026-05-21,2973,2679
2026-05-22,3098,2799
2026-05-23,401,326
2026-05-24,131,100
2026-05-25,3110,2831
2026-05-26,2718,2485
2026-05-27,54,54
2026-05-28,2321,2074
2026-05-29,2049,1816
2026-05-30,39,35
2026-05-31,26,23
2026-06-01,57,45
2026-06-02,57,33
2026-06-03,2971,2695
2026-06-04,2803,2520
2026-06-05,2984,2714
2026-06-06,191,141
2026-06-07,154,105
2026-06-08,3141,2869
2026-06-09,2920,2656
2026-06-10,3090,2814
2026-06-11,2832,2546
2026-06-12,2786,2506
2026-06-13,335,299
2026-06-14,97,72
2026-06-15,2358,2069
2026-06-16,2247,1982
2026-06-17,92,83
2026-06-18,2324,2033
2026-06-19,2333,2008
2026-06-20,292,238
2026-06-21,131,101
2026-06-22,2688,2373
2026-06-23,2467,2197
2026-06-24,2634,2322
2026-06-25,2590,2299
2026-06-26,2438,2127
2026-06-27,301,252
2026-06-28,144,108
2026-06-29,2360,2054
2026-06-30,2483,2167
2026-07-01,2417,2061
2026-07-02,2272,1990
2026-07-03,2324,2009
2026-07-04,211,175
2026-07-05,122,84
2026-07-06,2725,2408
2026-07-07,2566,2240
2026-07-08,2629,2309
2026-07-09,2712,2387
2026-07-10,2552,2245
2026-07-11,272,232
2026-07-12,65,61
2026-07-13,2613,2298
2026-07-14,2593,2280
2026-07-15,2654,2337
2026-07-16,2543,2241
2026-07-17,2587,2254
2026-07-18,782,673
2026-07-19,91,69
2026-07-20,2396,2080
2026-07-21,2694,2367
2026-07-22,2668,2357
2026-07-23,2579,2274
2026-07-24,2362,2046
2026-07-25,256,173
2026-07-26,90,74
2026-07-27,2294,2007
2026-07-28,2392,2063
2026-07-29,2453,2156
2026-07-30,2414,2076
2026-07-31,932,20
